token0,token1,reserveUSD,pairAddress
WETH,BTT,12015385.3600157805286514946867388,0x2d0ba902badaa82592f0e1c04c71d66cea21d921
BOND,USDC,11943146.55421329002851795796294248,0x6591c4bcd6d7a1eb4e537da8b78676c1576ba244
TERA,WETH,11883431.57521803325301973777101466,0x2b788a7b1a0ee0da8cb1d2769825198d9c95d19d
10SET,WETH,11724878.5612953785662639969445966,0x5f6fbe81171d0f52cc58d6a2ac6ee1a9e52d18d2
SAITAMA,WETH,11043780.62161736347234416640669637,0x9cbfb60a09a9a33a10312da0f39977cbdb7fde23
STARL,WETH,9600033.850400430722016830773165843,0xa5e9c917b4b821e4e0a5bbefce078ab6540d6b5e
WETH,CULT,9564417.34804358312436915505450957,0x5281e311734869c64ca60ef047fd87759397efe6
HIGH,WETH,8872997.732643531061840307649891971,0x3854612b93b140726167cca5418b01e832515d42
USDC,CAW,8564220.905896151633204217362531757,0x7a809081f991ecfe0ab2727c7e90d2ad7c2e411e
MIR,UST,8517894.426714102343681184541875966,0x87da823b6fc8eb8575a235a824690fda94674c88
⚗️,WETH,8454287.852569886460221969446118601,0xcd6bcca48069f8588780dfa274960f15685aee0e
SAND,WETH,8262689.715871179018695101389987908,0x3dd49f67e9d5bc4c5e6634b3f70bfd9dc1b6bd74
WILD,WETH,8225287.582029592832849210044466956,0xcaa004418eb42cdf00cb057b7c9e28f0ffd840a5
LFT,WETH,8215588.957202392937800365077563132,0x9c84f58bb51fabd18698efe95f5bab4f33e96e8f
WOO,WETH,7730663.47174619030232901871373394,0x6ada49aeccf6e556bb7a35ef0119cc8ca795294a
RAI,WETH,7540051.3460540614860843605421925,0x8ae720a71622e824f576b4a8c03031066548a3b1
BigSB,USDC,7507664.216577042503459276733052235,0x149148acc3b06b8cc73af3a10e84189243a35925
MKR,WETH,7190144.098049831704077754478550424,0xc2adda861f89bbb333c90c492cb837741916a225
ERN,WETH,7189907.82567876025452283952644456,0x570febdf89c07f256c75686caca215289bb11cfc
ShibDoge,WETH,7105454.215103843473587060272080713,0x3016a43b482d0480460f6625115bd372fe90c6bf
SHIB,WETH,6975480.404150610501442060562347407,0x811beed0119b4afce20d2583eb608c6f7af1954f
PNK,WETH,6924366.803302391668942878525148355,0x343fd171caf4f0287ae6b87d75a8964dc44516ab
AUDIO,WETH,6901257.166710298873180371738210805,0xc730ef0f4973da9cc0ab8ab291890d3e77f58f79
DAI,USDT,6780371.038323960572427669171828778,0xb20bd5d04be54f870d5c0d3ca85d82b34b836405
WETH,AMPL,6547348.890515603325117572074542015,0xc5be99a02c6857f9eac67bbce58df5572498f40c
X2Y2,WETH,6118993.075564032771360548435686499,0x6033368e4a402605294c91cf5c03d72bd96e7d8d
KUMA,WETH,5901614.722448997701884064227186388,0xdf60e6416fcf8c955fddf01148753a911f7a5905
LINK,WETH,5875482.968306160238624555645006569,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974
POLS,WETH,5874934.455308746491751787242293502,0xffa98a091331df4600f87c9164cd27e8a5cd2405
WETH,VEMP,5866268.320043808075809416903086305,0x05be6820730b30086d6355c44c424230aaff41fb
USDC,UNIX,5840800.577973355428621478973349525,0xccab68f48531215b0707e8d908c43e7de73dbdbc
QOM,WETH,5831103.284082839597311638303866118,0x8ef79d6c328c25da633559c20c75f638a4863462
UST,USDT,5758446.750411191344267941664696003,0xc50ef7861153c51d383d9a7d48e6c9467fb90c38
