,date,token0,token1,token0.id,token1.id,reserve0,reserve1,totalSupply,reserveUSD,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,dailyTxns,token0.priceUSD,token1.priceUSD,token0.volumeUSD,token1.volumeUSD,24hr_reward,pool_share,24hr_reward_share,ratio,iloss,daily_borrow_fee,daily_stake_reward,24hr_comp_reward_share,dnlp_rew,dnlp_CumRew
57,1645833600,WISE,WETH,0x66a0f676479cee1d7373f3dc2e2952778bff5bd6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,384348373.05547905,38625.17349128001,3818327.4697689633,216744029.7458674,81718.81746494611,8.189452335228035,22746.614440679532,17,0.2819629858490143,2775.267080477272,23041.681772466785,22727.917473096084,0.682398433220386,4.6137372326818e-09,2.1241388050585624e-05,0.49099605926824513,-0.06007651012583226,0.0,0.08692388910730342,2.1241517991654746e-05,0.086945130495354,0.08694513062529508
56,1645920000,WISE,WETH,0x66a0f676479cee1d7373f3dc2e2952778bff5bd6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,384503723.26880854,38609.61465092518,3818327.4697689633,200179252.77006468,155350.21332955125,15.558840354830677,42483.93413463676,25,0.2603086012643346,2619.3768031510895,40438.99673793147,40754.46550937454,1.2745180240391027,4.9955226935962594e-09,2.1247754934298108e-05,0.4802653243137192,-0.06366545710265181,0.0,0.0872294111317703,2.1247885010566847e-05,0.0872506588867046,0.08725065901678086
55,1646006400,WISE,WETH,0x66a0f676479cee1d7373f3dc2e2952778bff5bd6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,384704605.6247405,38589.514216440264,3818327.4697689633,217572018.84874183,200882.3559319947,20.10043448491106,55377.30931111951,17,0.2827780271767425,2917.548911648414,56805.11630506566,58644.00075511251,1.6613192793335854,4.596179257293235e-09,2.1255390655509524e-05,0.46840142163213005,-0.06783176070426222,0.0,0.08753509219509914,2.125552089404792e-05,0.08755634758575465,0.08755634771599319
54,1646092800,WISE,WETH,0x66a0f676479cee1d7373f3dc2e2952778bff5bd6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,384927370.6639901,38567.24868213531,3818327.4697689633,227309601.3726208,222765.03924955145,22.26553430495462,64964.39949175106,24,0.2952629751692084,2971.195971297872,65774.26825250805,66155.26582567573,1.9489319847525317,4.399286233231893e-09,2.1263964565159552e-05,0.48025111720424735,-0.06367031984197191,0.0,0.08784093238007751,2.126409498592885e-05,0.08786219634464267,0.08786219647506344
53,1646179200,WISE,WETH,0x66a0f676479cee1d7373f3dc2e2952778bff5bd6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,385160977.9349468,38543.92726020404,3818327.4697689633,228851162.16964105,234204.376421178,23.3814219312682,69659.3737299642,23,0.2970850829653539,2955.820541972656,69578.62659993464,69111.28724497251,2.089781211898926,4.36965226883457e-09,2.1273096182373495e-05,0.48572837285448556,-0.061817527839721165,0.0,0.08814693176953559,2.1273226797235978e-05,0.08816820486571796,0.08816820499633282
52,1646265600,WISE,WETH,0x66a0f676479cee1d7373f3dc2e2952778bff5bd6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,385207806.9884161,38539.25559721033,3818327.4697689633,218413220.25922737,46829.053469346414,4.671662993709513,13437.731482540985,19,0.2835005110187129,2838.887005369341,13276.060589082337,13262.32336630677,0.4031319444762296,4.578477432882192e-09,2.1274941912883752e-05,0.48261012496505795,-0.0628669628831997,0.0,0.0884530904463472,2.1275072566995235e-05,0.08847436538826008,0.08847436551891419
51,1646352000,WISE,WETH,0x66a0f676479cee1d7373f3dc2e2952778bff5bd6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,385447774.79430693,38515.33432145996,3818327.4697689633,201516231.0667132,240345.32132611104,23.959127455801013,64370.22097870737,24,0.2614053631185855,2616.684164757733,62827.55599510516,62693.469415006744,1.9311066293612213,4.962379430711682e-09,2.1284524796699805e-05,0.4827851210743115,-0.06280769354005633,0.0,0.08875940849342878,2.1284655654651985e-05,0.08878069301822548,0.08878069314908343
50,1646438400,WISE,WETH,0x66a0f676479cee1d7373f3dc2e2952778bff5bd6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,385548384.3247834,38505.35541534421,3818327.4697689633,205306523.41372728,239220.37370798216,23.86431089333899,63048.479583821805,27,0.2662526050696382,2664.1935213399606,63693.04768548264,63579.14247327638,1.8914543875146541,4.8707658352619965e-09,2.129373762810947e-05,0.48296847928182846,-0.06274564006944572,0.0,0.08906588599374055,2.1293868682104033e-05,0.08908717973136865,0.08908717986242265
49,1646524800,WISE,WETH,0x66a0f676479cee1d7373f3dc2e2952778bff5bd6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,385735043.8859448,38486.78099104184,3818327.4697689633,199747938.73540968,195567.44228023055,19.46589960002916,51363.11214645378,36,0.2589185788295549,2551.104127834277,50636.044220528296,49659.53682164199,1.5408933643936134,5.006309483496703e-09,2.130145181717269e-05,0.4904849871039137,-0.06024369283409825,0.0,0.0893725230302852,2.1301583035482352e-05,0.08939382448210237,0.08939382461332068
48,1646611200,WISE,WETH,0x66a0f676479cee1d7373f3dc2e2952778bff5bd6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,386052121.00481135,38455.2724268226,3818327.4697689633,192085315.39959973,340777.1188682561,33.877094724711874,85632.22077462621,29,0.2487815827816754,2492.304338564105,84779.07100782389,84432.03016034655,2.5689666232387864,5.206020032919621e-09,2.1314825908877174e-05,0.48240060395176715,-0.06293798438181442,0.0,0.0896793196861092,2.131495741197753e-05,0.08970063451201808,0.08970063464352118
