,date,token0,token1,token0.id,token1.id,reserve0,reserve1,totalSupply,reserveUSD,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,dailyTxns,token0.priceUSD,token1.priceUSD,token0.volumeUSD,token1.volumeUSD,24hr_reward,pool_share,24hr_reward_share,ratio,iloss,daily_borrow_fee,daily_stake_reward,comp_pool_share,24hr_comp_reward_share,dnlp_rew,dnlp_CumRew
354,1620518400,USDC,USDT,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,38794186.729958,38866206.705548,3.31172424008e-05,77637530.53966512,3308987.15443,3316385.251861,3311889.9707744746,392,0.9993905235069324,1.0002866930018024,3306970.404543512,3317336.036303989,9935.669912323423,1.2880368464181104e-08,0.0018662471315510707,1.0022905312732329,-6.543173113326972e-07,4.1095890410958905e-05,0.002870477027113183,1.290277535373573e-08,0.0018678132889636925,0.004695628268253295,0.004697194425665917
353,1620604800,USDC,USDT,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,38034788.090744,38075337.17089,3.24498290514e-05,76072659.06541705,4996512.504718,4998147.39255,4996885.674598999,400,1.0009863816464433,0.9995206572070304,5001440.972948878,4995751.566619181,14990.657023796999,1.3145327273759045e-08,0.002063304224177557,1.004660405490948,-2.7023175169782476e-06,4.1095890410958905e-05,0.0031322452206341556,1.316988029072875e-08,0.002065238447446471,0.005154453554400753,0.0051563877776696675
352,1620691200,USDC,USDT,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,31499473.681294,31500923.644714,2.68557663915e-05,62981383.75411353,4156540.810424,4148571.888729,4152426.1582184783,380,1.0003690627752713,0.998726286417563,4158074.8349110233,4143287.7963666096,12457.278474655435,1.587770767158933e-08,0.0022610972501817183,1.0048394186949337,-2.913384780867112e-06,4.1095890410958905e-05,0.0033941496770503177,1.591049892393001e-08,0.002263439963212573,0.005614151036821077,0.005616493749851932
351,1620777600,USDC,USDT,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,30881728.27358,30831024.580636,2.62972535733e-05,61723193.09862569,7605964.265602,7612271.366608,7608233.050762552,682,1.0001914408713375,1.0001468721686089,7607420.358028369,7613389.397411653,22824.699152287656,1.6201365318254503e-08,0.0026308885394271844,1.0032340055314648,-1.3031320804657298e-06,4.1095890410958905e-05,0.0036561904672932632,1.6238036135974448e-08,0.0026340682528401653,0.006245983116309489,0.0062491628297224695
350,1620864000,USDC,USDT,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,34364047.494646,34335223.414917,2.92615037354e-05,68654529.18513246,9353274.262258,9364428.694995,9358329.33953834,558,0.9999840296874216,0.9987128984332924,9353124.887544401,9352375.724150348,28074.98801861502,1.456568141780449e-08,0.003039819870715009,1.0044661299343585,-2.482194487396505e-06,4.1095890410958905e-05,0.0039183676623310015,1.4604048416808113e-08,0.0030440767371653268,0.006917091642635051,0.006921348509085369
349,1620950400,USDC,USDT,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,135695904.864893,135941355.689427,0.0001154105021188,271565276.36618644,101723150.646564,100063628.744427,100910118.38107485,944,0.9996989446383012,0.9997655215866288,101692526.34665297,100040165.98352283,302730.35514322453,3.6823559086087693e-09,0.004154580782691893,1.0031224963049414,-1.2149519925674923e-06,4.1095890410958905e-05,0.004180681333168956,3.6935652825681284e-09,0.0041622310669018605,0.00829416622544989,0.00830181650965986
348,1621036800,USDC,USDT,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,128528962.021908,128230907.993347,0.0001090570772117,256725122.14903703,26877957.381512,26731385.74119,26813700.997345388,735,0.999760346288244,0.9999164692561896,26871515.9792611,26729152.848655958,80441.10299203616,3.895216765811756e-09,0.004467916315726862,1.0030326672766563,-1.1461559652481412e-06,4.1095890410958905e-05,0.004443131550849189,3.911429558046734e-09,0.004476870774826792,0.008869951976165092,0.008878906435265023
347,1621123200,USDC,USDT,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,110561597.469263,110393862.322919,9.38247920421e-05,220993992.90867743,20168040.05381,20156242.05805,20166356.021609917,664,0.999751061776183,1.0000304201719874,20163019.457741134,20156855.214400023,60499.06806482976,4.525009873970807e-09,0.004741675196086249,1.0029090604226196,-1.054759036445141e-06,4.1095890410958905e-05,0.004705718386451063,4.5452677584313904e-09,0.004751855238317009,0.009406297692126354,0.009416477734357113
346,1621209600,USDC,USDT,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,111865083.371556,111650113.251756,9.4902535174e-05,223510270.77172852,7636143.36809,7639085.465445,7638130.99273969,610,0.9995625262256131,0.9981445428714812,7632802.755629002,7624911.469862776,22914.392978219068,4.4740673283032345e-09,0.004844195733058,1.004614451286541,-2.6494089382378405e-06,4.1095890410958905e-05,0.004968441911090582,4.495327448573816e-09,0.004854862938039404,0.009771541753737623,0.009782208958719028
345,1621296000,USDC,USDT,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdac17f958d2ee523a2206206994597c13d831ec7,95948046.944475,96146593.140142,8.15553306706e-05,192079805.2641315,5343126.381037,5349683.423344,5348431.12272768,551,0.9993399148802063,1.0009227468200177,5339599.4628197,5354619.8267109925,16045.29336818304,5.2061693764468715e-09,0.00492773024802754,1.001602885044344,-3.206409528999643e-07,4.1095890410958905e-05,0.00523130219592105,5.231444615201739e-09,0.004938803001629717,0.010117936553537633,0.010129009307139808
