,Unnamed: 0,date,token0,token1,token0.id,token1.id,reserve0,reserve1,totalSupply,reserveUSD,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,dailyTxns,token0.priceUSD,token1.priceUSD,token0.volumeUSD,token1.volumeUSD,24hr_reward,pool_share,24hr_reward_share,ratio,iloss,daily_borrow_fee,daily_stake_reward,comp_pool_share,24hr_comp_reward_share,dnlp_rew,dnlp_CumRew
162,202,1633651200,DAI,USDC,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,31940902.76719392,31943359.667413,28.506664357937098,63866484.3175085,251529.60538992228,251552.406595,251596.91636244796,52,1.0033280799041748,1.0000927280818444,252366.7160149255,251575.7325671469,754.7907490873439,1.565766474679518e-08,0.003889250454445153,1.0035735540215052,-1.5905981463060215e-06,4.1095890410958905e-05,0.055712924110934536,1.571849279129159e-08,0.0038967375228431446,0.05956107867496873,0.05956856574336672
161,203,1633564800,DAI,USDC,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,31928888.849237856,31954622.600678,28.506664357937098,63924086.30554488,315046.18273799826,315320.946129,315144.3620149125,57,0.999420028834909,1.0007358169382266,314863.46503633825,315552.96462213935,945.4330860447375,1.5643555626594202e-08,0.0039040403895179163,0.9990221463679262,-1.1964168633582517e-07,4.1095890410958905e-05,0.056002199331704694,1.5704514456795036e-08,0.003911585090410867,0.05986514383081165,0.059872688531704604
160,204,1633478400,DAI,USDC,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,31881302.689922545,32001369.683253,28.506664357937098,63841880.29066478,515926.08131931664,516486.733554,516144.0585509822,71,1.002079048863387,1.0001457806609668,516998.7168522753,516562.0273313981,1548.4321756529466,1.566369905533976e-08,0.003928294565124949,1.0022710492589817,-6.432466252981328e-07,4.1095890410958905e-05,0.05629162513409658,1.572496894702531e-08,0.003935934138289584,0.060178823808810566,0.060186463381975204
159,205,1633392000,DAI,USDC,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,31893480.47244664,31987598.004085,28.506664357937098,63887602.22860706,641494.8098406441,644064.652947,642721.661894464,66,0.999858666483889,0.9997737018670863,641404.1451236024,643918.9023185624,1928.1649856833922,1.5652489138999623e-08,0.003958475146621558,1.000422423161363,-2.22957470263907e-08,4.1095890410958905e-05,0.056581201596495156,1.571409630535102e-08,0.003966233508567218,0.060498580852705756,0.060506339214651414
158,206,1633305600,DAI,USDC,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,31913597.134872094,31965504.653706,28.506664357937098,63839399.97732381,614705.075511353,616181.036573,615608.474555066,91,0.9983562242385584,1.0002990308700028,613694.6382077923,616365.2937244457,1846.825423665198,1.566430762750287e-08,0.003987404388192143,0.9983945294647968,-3.227099002467426e-07,4.1095890410958905e-05,0.05687092879732614,1.572643592930358e-08,0.003995277490265098,0.060817237295107324,0.060825110397180276
157,207,1633219200,DAI,USDC,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,31956836.2108526,31932416.7834,28.51202668323193,63980467.91000184,600740.8214885584,600985.559703,601010.1830391597,97,0.9995735836130536,1.0008966216816637,600484.6557579681,601524.4163861965,1803.0305491174793,1.5629770032420683e-08,0.0040155853410362785,0.9990151117645297,-1.2137011839996603e-07,4.1095890410958905e-05,0.05716080681505631,1.5692215300809237e-08,0.004023571033835786,0.06113529626568163,0.061143281958481135
156,208,1633132800,DAI,USDC,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,31927061.20805413,31970683.779766,28.516616913537508,63873527.91273152,903691.52329983,901063.04944,902307.471383072,104,1.0001242174585758,0.999876271332286,903803.7775641909,900951.5621093664,2706.922414149216,1.5655938112049642e-08,0.0040579647508263185,1.0005854711165625,-4.2821979961971124e-08,4.1095890410958905e-05,0.057450835728192984,1.5718930891144813e-08,0.004066120960191488,0.06146770458860834,0.061475860797973514
155,209,1633046400,DAI,USDC,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,29921899.75143344,29985996.525613,26.737180759723497,59926470.67656801,367639.3725630026,367841.410189,367772.1126667253,81,1.0015524884012024,1.0005267733806444,368210.12842473196,368035.17925218627,1103.3163380001758,1.6687116539820063e-08,0.004076375919138815,1.0013629315290307,-2.3188167452836694e-07,4.1095890410958905e-05,0.05774101561528433,1.6754968374147784e-08,0.004084606990541362,0.061776295644012186,0.061784526715414734
154,210,1632960000,DAI,USDC,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,29940994.91532349,29965767.512716,26.737180759723497,59926282.95020536,183337.2384471349,183437.296321,183407.1541845401,64,0.9993189575559538,1.000092016820852,183212.3780061782,183454.17563783316,550.2214625536203,1.6687168814240182e-08,0.004085557557569665,0.9995641616870111,-2.3754731848235622e-08,4.1095890410958905e-05,0.058031346554919705,1.675532934063117e-08,0.0040938261323567315,0.062075808222078414,0.06208407679686548
153,211,1632873600,DAI,USDC,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,29918886.28554541,29987359.229987,26.737180759723497,59931562.062642254,359902.7390870508,360650.18545,360354.46816008014,104,1.000245735164349,1.000148642096964,359991.17984579,360703.7932498358,1081.0634044802405,1.6685698913617007e-08,0.004103595856043352,1.000434522031197,-2.359092288184428e-08,4.1095890410958905e-05,0.0583218286257291,1.6754007263866206e-08,0.004111938276488094,0.06238432859136149,0.06239267101180623
152,212,1632787200,DAI,USDC,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,29943753.958964907,29961372.855489,26.737180759723497,59952262.29578561,171238.79505272146,171298.719575,171278.96031088562,62,0.998966621893288,0.9994648232672212,171061.84063089424,171207.04448592867,513.8368809326569,1.6679937698869717e-08,0.0041121666232046905,0.9998387743074799,-3.2497394775177213e-09,4.1095890410958905e-05,0.058612461906383584,1.6748524573143137e-08,0.004120544286114982,0.06268353263917732,0.06269191030208761
151,213,1632700800,DAI,USDC,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,29962064.69317928,29942548.186004,26.737180759723497,59935830.51685687,247178.78434364373,247144.650109,247219.073194246,66,1.0000354592840799,0.9993456260181488,247187.54912637628,246982.92508021498,741.6572195827381,1.6684510607035826e-08,0.004124540810951603,1.0010279285183676,-1.3194397474602937e-07,4.1095890410958905e-05,0.058903246475595195,1.6753259871884273e-08,0.004132969462250511,0.06298669139613584,0.06299512004743475
150,214,1632614400,DAI,USDC,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,29933360.16791424,29970518.601653,26.737180759723497,59891643.84417691,204742.04415441924,204801.700447,204805.6517661647,92,0.9972917513594116,0.9994758016806808,204187.55179166674,204694.343739832,614.4169552984941,1.669682005392522e-08,0.0041347996202923025,0.9981514775328768,-4.279201598622606e-07,4.1095890410958905e-05,0.059194182412116714,1.6765827501324785e-08,0.004143270670936935,0.06328788614199805,0.06329635719264269
149,215,1632528000,DAI,USDC,0x6b175474e89094c44da98b954eedeac495271d0f,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,28694599.82692552,28739117.813568,25.634928669744056,57458798.74595609,1861989.3823065192,1874818.850778,1868977.4985099663,111,0.9998898669676064,0.9998897827374332,1861784.315769561,1874612.2133764587,5606.932495529899,1.7403774910459283e-08,0.004232381411382644,1.0003374949063004,-1.4233047740397353e-08,4.1095890410958905e-05,0.059485269794742224,1.747588346060938e-08,0.004241256769800319,0.06367655531571391,0.06368543067413159
