,Unnamed: 0,date,token0,token1,token0.id,token1.id,reserve0,reserve1,totalSupply,reserveUSD,dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,dailyTxns,token0.priceUSD,token1.priceUSD,token0.volumeUSD,token1.volumeUSD,24hr_reward,pool_share,24hr_reward_share,ratio,iloss,daily_borrow_fee,daily_stake_reward,comp_pool_share,24hr_comp_reward_share,dnlp_rew,dnlp_CumRew
76,288,1626220800,WBTC,WETH,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1915.39857543,31491.813491013763,0.0657454022706005,125478357.88597605,114.76272751,1918.879700978396,3713487.955610983,317,42497.05922067165,2927.995697622692,4877078.427318273,5618471.508720261,11140.46386683295,7.969501807703877e-09,0.021359134797871493,0.7507107623003745,-0.01018982224689069,4.1095890410958905e-05,0.08114907823352924,8.140819775569974e-09,0.021587389792756467,0.10246711714098977,0.10269537213587475
75,289,1626134400,WBTC,WETH,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1894.98822391,31851.615628946223,0.0657726523814969,123519935.72474152,80.95974323,1337.5873864665652,2655566.5045902487,310,42161.29008137407,2914.3098385488606,3413367.2192335906,3898144.0802983684,7966.699513770746,8.095859135066697e-09,0.021423632074906385,0.7482769493068085,-0.010419912791474362,4.1095890410958905e-05,0.08145159419206172,8.270627601922631e-09,0.02165327939765128,0.10283413037655714,0.10306377769930204
74,290,1626048000,WBTC,WETH,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1928.23351497,31397.980843706344,0.065877126955592,127845387.92010687,80.75487375,1304.9052131910753,2687986.9889616314,231,42187.25443837688,2875.9269969528623,3406826.4060302526,3752812.131080744,8063.960966884894,7.821948184982002e-09,0.021486707959755075,0.758730605329525,-0.009454393944015482,4.1095890410958905e-05,0.08175426762465487,7.99131901446537e-09,0.021717721082257856,0.10319987969399899,0.10343089281650178
73,291,1625961600,WBTC,WETH,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1947.68836441,31106.426065137035,0.0659046359099957,133212382.38766202,76.97179834,1225.607465551432,2611419.676556252,259,42644.97971500378,2932.176892226971,3282460.7788366615,3593697.889430772,7834.259029668756,7.50680966796236e-09,0.021545518251180312,0.7522495618905349,-0.010046016995026386,4.1095890410958905e-05,0.08205709861328137,7.669840466548762e-09,0.021777808599189034,0.10356152097405072,0.10379381132205945
72,292,1625875200,WBTC,WETH,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1953.65796309,31031.215487020407,0.065929617501501,131298347.0691798,75.86075291,1206.9547972510604,2558334.685458529,297,44401.20415489418,3186.0661681822885,3368308.777300893,3845437.846046917,7675.0040563755865,7.616242110596486e-09,0.02160397294027348,0.7208155640411015,-0.013248607379297894,4.1095890410958905e-05,0.0823600872399568,7.782107173526142e-09,0.021837536303312997,0.10392296428981933,0.10415652765285885
71,293,1625788800,WBTC,WETH,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1962.93870959,30901.252038863862,0.0659513430762663,133276518.26757824,146.35195285,2284.492195270155,4820709.452397052,352,43903.29772990018,3130.1188522062566,6425333.359325863,7150732.088133169,14462.128357191157,7.503197209821371e-09,0.021712485141411234,0.7254717619807903,-0.01273805786177662,4.1095890410958905e-05,0.08266323358673933,7.667048551281761e-09,0.021948418143582452,0.1043346228377396,0.10457055583991082
70,294,1625702400,WBTC,WETH,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1979.0981488,30642.206852880336,0.0659514475697834,129909030.30355416,167.19085744,2507.862763673472,5518462.034173516,287,40686.13352398187,2887.9929993935466,6802349.549792858,7242690.104928739,16555.386102520548,7.6976942839411e-09,0.021839923442381042,0.7286760275323012,-0.012394210331517774,4.1095890410958905e-05,0.0829665377357297,7.866646496826503e-09,0.022078653513669454,0.1047653652876998,0.1050040953589882
69,295,1625616000,WBTC,WETH,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2033.15682595,29824.44173352885,0.0659563274844984,138205128.04781097,86.81358039,1270.7298135257388,2994901.2423583977,260,39922.28775325159,2782.7069016635746,3465796.7372196196,3536068.6222477406,8984.703727075193,7.235621529572028e-09,0.021904933358105495,0.7420482644377174,-0.011023688464298798,4.1095890410958905e-05,0.08326999976907157,7.3953743102794955e-09,0.022145098760798138,0.1051338372367661,0.10537400263945874
68,296,1625529600,WBTC,WETH,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2029.9198847,29937.86043242402,0.0660332246669815,138729266.41668335,148.41530545,2209.752828807468,5067103.64988257,318,40095.62834526119,2757.7394176678295,5950804.928071618,6093922.4793053465,15201.31094964771,7.2082843500118274e-09,0.022014508729923502,0.7520175833586724,-0.01006761350687102,4.1095890410958905e-05,0.08357361976895139,7.367912518838755e-09,0.02225710069004681,0.10554703260846393,0.10578962456858725
67,297,1625443200,WBTC,WETH,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1994.96371856,30516.97435109896,0.0660995948789834,134481977.89190504,113.8346761,1728.4581357432385,3885627.923774296,380,38597.44348814452,2629.204987262948,4393727.4777609855,4544470.750771341,11656.883771322888,7.435940604649551e-09,0.02210118862528236,0.7593085510635305,-0.009402728388217874,4.1095890410958905e-05,0.08387739781759829,7.601443083412443e-09,0.022345709828564476,0.10593749055246969,0.1061820117557518
